workload,tier,provider,region,service,sku,monthly_cost
batch-etl,Cheapest that meets your requirements,aws,ap-south-1,Compute × 1 (spot),t4g.xlarge:spot,2.4
batch-etl,Cheapest that meets your requirements,aws,ap-south-1,Object storage,s3:general-purpose,468.75
batch-etl,Cheapest that meets your requirements,aws,ap-south-1,Egress,egress:internet,9.56
batch-etl,Cheapest that meets your requirements,aws,ap-south-1,Monitoring,cloudwatch:metrics,6.0
batch-etl,Cheapest that meets your requirements,aws,ap-south-1,Event bus,eventbridge:events,0.0
batch-etl,Cheapest that meets your requirements,aws,ap-south-1,Audit logging,cloudtrail:management-events,0.0
batch-etl,Cheapest that meets your requirements,aws,ap-south-1,Backup storage,backup:warm-storage,206.25
batch-etl,Cheapest that meets your requirements,aws,ap-south-1,Object storage write requests,s3:put-requests,0.3
batch-etl,Cheapest that meets your requirements,aws,ap-south-1,Object storage read requests,s3:get-requests,0.06
batch-etl,Balanced — production-ready,aws,ap-south-1,Object storage,s3:general-purpose,468.75
batch-etl,Balanced — production-ready,aws,ap-south-1,Egress,egress:internet,9.56
batch-etl,Balanced — production-ready,aws,ap-south-1,Monitoring,cloudwatch:metrics,6.0
batch-etl,Balanced — production-ready,aws,ap-south-1,Notifications,sns:requests,0.0
batch-etl,Balanced — production-ready,aws,ap-south-1,Event bus,eventbridge:events,0.0
batch-etl,Balanced — production-ready,aws,ap-south-1,Athena data scanned,athena:scanned,3.66
batch-etl,Balanced — production-ready,aws,ap-south-1,Glue ETL,glue:etl-dpu-hour,26.4
batch-etl,Balanced — production-ready,aws,ap-south-1,Audit logging,cloudtrail:management-events,0.0
batch-etl,Balanced — production-ready,aws,ap-south-1,Backup storage,backup:warm-storage,206.25
batch-etl,Balanced — production-ready,aws,ap-south-1,Object storage write requests,s3:put-requests,0.3
batch-etl,Balanced — production-ready,aws,ap-south-1,Object storage read requests,s3:get-requests,0.06
batch-etl,Balanced — production-ready,aws,ap-south-1,Secrets × 2,secretsmanager:secret,0.8
batch-etl,Balanced — production-ready,aws,ap-south-1,KMS keys × 1,kms:key,1.0
batch-etl,The architecture to grow into,aws,ap-south-1,Object storage,s3:general-purpose,468.75
batch-etl,The architecture to grow into,aws,ap-south-1,Egress,egress:internet,9.56
batch-etl,The architecture to grow into,aws,ap-south-1,Monitoring,cloudwatch:metrics,6.0
batch-etl,The architecture to grow into,aws,ap-south-1,Notifications,sns:requests,0.0
batch-etl,The architecture to grow into,aws,ap-south-1,Event bus,eventbridge:events,0.0
batch-etl,The architecture to grow into,aws,ap-south-1,Athena data scanned,athena:scanned,3.66
batch-etl,The architecture to grow into,aws,ap-south-1,Glue ETL,glue:etl-dpu-hour,26.4
batch-etl,The architecture to grow into,aws,ap-south-1,Cross-region backup copy (storage at destination),backup:cross-region-warm,322.5
batch-etl,The architecture to grow into,aws,ap-south-1,Cross-region backup transfer (changed data),transfer:inter-region,32.25
batch-etl,The architecture to grow into,aws,ap-south-1,Archived retention,s3:glacier-instant,48.75
batch-etl,The architecture to grow into,aws,ap-south-1,Object Lock (WORM retention),s3:object-lock,0.0
batch-etl,The architecture to grow into,aws,ap-south-1,Audit logging,cloudtrail:management-events,0.0
batch-etl,The architecture to grow into,aws,ap-south-1,Backup storage,backup:warm-storage,206.25
batch-etl,The architecture to grow into,aws,ap-south-1,Warehouse nodes × 2,rg.large,631.6
batch-etl,The architecture to grow into,aws,ap-south-1,Object storage write requests,s3:put-requests,0.3
batch-etl,The architecture to grow into,aws,ap-south-1,Object storage read requests,s3:get-requests,0.06
batch-etl,The architecture to grow into,aws,ap-south-1,Secrets × 2,secretsmanager:secret,0.8
batch-etl,The architecture to grow into,aws,ap-south-1,Distributed tracing,xray:traces-recorded,0.0
